Time,Date,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43846,16/01/2020 00:00,1.4676,2.082666667,0.25025,0.066641667,1.9,0.5
43847,17/01/2020 00:00,1.1733,1.995583333,0.25025,0.069784167,1.9,0.7
43848,18/01/2020 00:00,2.4348,1.371416667,0,0.038735833,1.9,0.5
43849,19/01/2020 00:00,1.509,2.0995,0.262166667,0.05841,1.9,0.4
43850,20/01/2020 00:00,1.6113,2.10175,0.262166667,0.04814,1.9,0.1
43851,21/01/2020 00:00,2.184,2.114666667,0.262166667,0.041620833,2.4,0.5
43852,22/01/2020 00:00,2.0481,2.111416667,0.262166667,0.042986667,1.9,0.6
43853,23/01/2020 00:00,1.2555,2.105,0.274083333,0.051185,2.4,0.7
43854,24/01/2020 00:00,1.776,2.123666667,0.274083333,0.040304167,2.4,0.8
43855,25/01/2020 00:00,2.265,2.002416667,0.284083333,0.037798333,2.4,0.7
43856,26/01/2020 00:00,1.3869,1.92,0.25,0.064241667,2.4,0.8
43857,27/01/2020 00:00,0.8952,1.861416667,0.18,0.062180833,2.2,1
43858,28/01/2020 00:00,1.8171,2.151916667,0.286,0.058873333,1.9,0.2
43859,29/01/2020 00:00,1.2048,2.151916667,0.286,0.068720833,3.1,1.2
43860,30/01/2020 00:00,0.84,2.018916667,0.440916667,0.070689167,2.6,1
43861,31/01/2020 00:00,0.9354,1.874,0.572,0.080135,2.4,0.8
43862,01/02/2020 00:00,0.3636,1.882833333,0.715,0.090318333,2.2,0.5
43863,02/02/2020 00:00,1.1883,1.668333333,0.846083333,0.064005,2.4,0.5
43864,03/02/2020 00:00,0.6675,1.668333333,0.846083333,0.081874167,2.6,0.7
43865,04/02/2020 00:00,1.7883,1.68025,0.858,0.067118333,2.6,0.9
43866,05/02/2020 00:00,0.8445,1.68025,0.869916667,0.066768333,3.1,1.3
43867,06/02/2020 00:00,0.8082,1.68025,0.869916667,0.067575833,2.6,0.8
43868,07/02/2020 00:00,1.4928,1.60875,0.9295,0.058291667,2.6,0.6
43869,08/02/2020 00:00,1.1862,1.620666667,0.9295,0.042886667,2.6,1
43870,09/02/2020 00:00,1.6005,1.620666667,0.9295,0.06333,2.6,1.1
43871,10/02/2020 00:00,1.1499,1.620666667,0.9295,0.08028,2.6,0.8
43872,11/02/2020 00:00,2.2095,1.60875,0.9295,0.0831025,2.9,0.6
43873,12/02/2020 00:00,1.8504,1.60875,0.9295,0.075449167,3.1,1.6
43874,13/02/2020 00:00,2.064,1.620666667,0.9295,0.0551725,2.6,0.3
43875,14/02/2020 00:00,0.7242,1.60875,0.9295,0.0635875,2.9,1.5
43876,15/02/2020 00:00,0.3024,1.60875,0.9295,0.075675833,2.6,0.8
43877,16/02/2020 00:00,0.6327,1.620666667,0.9295,0.112693333,2.6,1.2
43878,17/02/2020 00:00,1.1259,1.60875,0.9295,0.0754975,2.9,0.9
43879,18/02/2020 00:00,1.2165,1.19725,0.858,0.064509167,3.1,1.2
43880,19/02/2020 00:00,1.2132,1.749333333,1.001,0.067034167,3.1,1.1
43881,20/02/2020 00:00,2.2332,1.280583333,0.190666667,0.058219167,3.1,1.5
43882,21/02/2020 00:00,2.7624,1.18125,0.855416667,0.05993,2.9,1.1
43883,22/02/2020 00:00,2.0817,1.193166667,0.858,0.069333333,2.6,0.7
43884,23/02/2020 00:00,2.9973,1.193166667,0.858,0.060071667,2.6,1.1
43885,24/02/2020 00:00,3.4371,1.189166667,0.858,0.0427825,2.6,0.5
43886,25/02/2020 00:00,2.5554,0.388416667,0,0.024375,2.4,0.6
43887,26/02/2020 00:00,4.485,1.193166667,0.858,0.052169167,2.6,1
43888,27/02/2020 00:00,4.8393,1.193166667,0.858,0.0356625,2.6,0.5
43889,28/02/2020 00:00,3.7044,1.17325,0.858,0.045168333,3.1,1.1
43890,29/02/2020 00:00,2.0913,1.16325,0.858,0.063148333,2.9,1
43891,01/03/2020 00:00,1.6344,1.25725,0.7865,0.065365833,2.9,0.8
43892,02/03/2020 00:00,3.1956,1.24925,0.7865,0.034360833,2.9,1
43893,03/03/2020 00:00,2.2581,0.607083333,0.774583333,0.0574425,3.4,1.3
43894,04/03/2020 00:00,1.536,1.310833333,0.7865,0.073166667,3.4,1.6
43895,05/03/2020 00:00,2.5968,1.573,0.7865,0.0442825,3.4,1.9
43896,06/03/2020 00:00,1.7673,1.573,0.7865,0.068833333,2.9,0.8
43897,07/03/2020 00:00,2.2347,0.953333333,0.7865,0.067019167,3.4,0.1
43898,08/03/2020 00:00,1.9668,1.573,0.7865,0.061339167,2.9,1.1
43899,09/03/2020 00:00,1.4058,1.53725,0.7865,0.0686925,3.4,1.6
43900,10/03/2020 00:00,1.7811,1.53725,0.7865,0.068069167,2.9,1
43901,11/03/2020 00:00,0.6672,1.001,0.7865,0.0781475,3.1,0
43902,12/03/2020 00:00,1.4469,0.858,0.774583333,0.086329167,3.4,0.4
43903,13/03/2020 00:00,2.0205,0.917583333,0.7865,0.061383333,3.1,1.2
43904,14/03/2020 00:00,1.3116,1.0725,0.7865,0.062456667,3.4,1.3
43905,15/03/2020 00:00,1.155,1.53725,0.7865,0.065145,3.4,1.7
43906,16/03/2020 00:00,1.065,0.440916667,0.7865,0.060979167,3.6,1.6
43907,17/03/2020 00:00,1.4016,0.45025,0.7865,0.064784167,3.6,1.4
43908,18/03/2020 00:00,0.8205,1.53725,0.7865,0.0823125,3.4,1.2
43909,19/03/2020 00:00,1.1172,1.53725,0.7865,0.0606075,3.4,1.8
43910,20/03/2020 00:00,1.9188,0.691166667,0,0.0226325,1.7,0.3
43911,21/03/2020 00:00,2.6061,0.32175,0.7865,0.066104167,3.8,1.6
43912,22/03/2020 00:00,2.6478,0.32175,0.7865,0.0734125,4.1,0.9
43913,23/03/2020 00:00,2.6544,0.32175,0.7865,0.074956667,5,2.2
43914,24/03/2020 00:00,2.1447,0.333666667,0.7865,0.074671667,5,2.4
43915,25/03/2020 00:00,2.0709,0.333666667,0.7865,0.068235833,5,2.3
43916,26/03/2020 00:00,2.6631,0,0,0.046814167,4.1,1.6
43917,27/03/2020 00:00,1.4154,0.345583333,0.7865,0.06908,5,2.5
43918,28/03/2020 00:00,1.8654,0.229583333,0.5225,0.071145,5.3,3
43919,29/03/2020 00:00,2.8368,0.253333333,0.411666667,0.0699,3.8,1.1
43920,30/03/2020 00:00,2.2089,1.19,0,0.040755,3.1,0.4
43921,31/03/2020 00:00,2.3805,0.3325,0.4275,0.070870833,4.8,1.8
43922,01/04/2020 00:00,2.391,0.340416667,0.4275,0.032579167,3.8,1.8
43923,02/04/2020 00:00,1.7055,0.340416667,0.4275,0.050890833,3.4,1.5
43924,03/04/2020 00:00,1.4667,0.340416667,0.4275,0.055366667,4.2,2.3
43925,04/04/2020 00:00,1.503,0.340416667,0.4275,0.0793925,4.3,1.3
43926,05/04/2020 00:00,1.1448,0.253333333,0.4275,0.090524167,4.7,1.7
43927,06/04/2020 00:00,0.5388,0.26125,0.4275,0.085445,4.7,1.9
43928,07/04/2020 00:00,0.5325,0.31075,0.5085,0.101229167,4.7,2.1
43929,08/04/2020 00:00,0.2787,0.320166667,0.5085,0.079515,4.7,1.7
43930,09/04/2020 00:00,0.4437,0.320166667,0.5085,0.087161667,5,2
43931,10/04/2020 00:00,0.6621,0.320166667,0.5085,0.0976175,4.7,1.7
43932,11/04/2020 00:00,0.525,0.320166667,0.5085,0.104416667,5,1.6
43933,12/04/2020 00:00,0.411,0.320166667,0.5085,0.090629167,5.4,3
43934,13/04/2020 00:00,1.6917,0.555583333,0.5085,0.082365,4.7,1.5
43935,14/04/2020 00:00,1.7484,0.555583333,0.5085,0.054086667,4.7,2.4
43936,15/04/2020 00:00,1.3023,0.301333333,0.5085,0.077670833,4.3,1
43937,16/04/2020 00:00,0.636,0.301333333,0.5085,0.1002875,5,1.9
43938,17/04/2020 00:00,0.4023,0.301333333,0.452,0.104180833,5,1.9
43939,18/04/2020 00:00,0.7947,1.13,0,0.035640833,4,2.2
43940,19/04/2020 00:00,0.6486,0.31075,0.5085,0.118889167,5,1.8
43941,20/04/2020 00:00,0.9183,0.31075,0.5085,0.125911667,5,1.3
43942,21/04/2020 00:00,0.5046,0.31075,0.5085,0.132741667,5.8,2.1
43943,22/04/2020 00:00,0.3954,0.318833333,0.5085,0.131756667,5.8,2.3
43944,23/04/2020 00:00,0.3648,0.207166667,0.5085,0.10898,6.5,3.4
43945,24/04/2020 00:00,0.5841,0.103583333,0.5085,0.104474167,6.5,3.4
43946,25/04/2020 00:00,1.3308,0.103583333,0.5085,0.037911667,5.4,3.6
43947,26/04/2020 00:00,1.0725,0.103583333,0.452,0.0577625,5,1.8
43948,27/04/2020 00:00,0.6321,0.226,0.452,0.099704167,4.7,1.1
43949,28/04/2020 00:00,2.1894,1.21475,0.452,0.038483333,4,2.2
43950,29/04/2020 00:00,0.4479,1.224166667,0.452,0.073429167,3.2,1.5
43951,30/04/2020 00:00,0.6642,0.235416667,0.452,0.0845575,3.6,0.8
43952,01/05/2020 00:00,0.8919,0.574416667,0.452,0.067765833,3.6,1.2
43953,02/05/2020 00:00,0.5706,0.574416667,0.452,0.101318333,4,0.8
43954,03/05/2020 00:00,0.4131,0,0,0.051095,4.3,2
43955,04/05/2020 00:00,0.1968,0,0,0.04336,3.2,0.4
43956,05/05/2020 00:00,1.0182,0.02825,0.452,0.107055,4.3,1
43957,06/05/2020 00:00,0.8784,0.047083333,0.452,0.0987725,4.7,1.5
43958,07/05/2020 00:00,1.0059,0,0,0.057175,4.3,1.3
43959,08/05/2020 00:00,0.6069,0,0,0.054831667,4.3,1.6
43960,09/05/2020 00:00,0.4248,0,0,0.084960833,4.3,1.1
43961,10/05/2020 00:00,0.9474,0,0,0.0478775,4,1.7
43962,11/05/2020 00:00,1.7796,0,0,0.0614,4.3,2
43963,12/05/2020 00:00,1.3917,0,0,0.043698333,3.2,0.8
43964,13/05/2020 00:00,1.3176,0,0,0.036520833,3.6,1.8
43965,14/05/2020 00:00,1.275,0,0,0.060420833,4,2.1
43966,15/05/2020 00:00,1.1919,0,0,0.069650833,4.7,2.6
43967,16/05/2020 00:00,0.6528,0,0,0.058874167,3.6,1.7
43968,17/05/2020 00:00,0.9843,0,0,0.080344167,4.7,2.4
43969,18/05/2020 00:00,0.3714,0,0,0.0824875,4.7,2.6
43970,19/05/2020 00:00,0.2685,0,0,0.067189167,3.6,1.6
43971,20/05/2020 00:00,0.2349,0,0,0.0573575,4.3,2.2
43972,21/05/2020 00:00,0.1677,0,0,0.061740833,4.7,2.4
43973,22/05/2020 00:00,0,0,0,0.018374167,3.6,1.4
43974,23/05/2020 00:00,0.3708,0,0,0.0276,4.7,2.5
43975,24/05/2020 00:00,1.0035,0,0,0.007819167,3.2,2.5
43976,25/05/2020 00:00,0.2694,0,0,0.029261667,4.3,2
43977,26/05/2020 00:00,0.315,0,0,0.0237,4.3,1.9
43978,27/05/2020 00:00,0.2616,0,0,0.029765833,4.3,1.7
43979,28/05/2020 00:00,0.4665,0,0,0.030178333,4.7,1.9
